arch,xai,image,y,fp32_pred,int8_pred,fp32_correct,pred_match,topk_iou,topk_dice,spearman,collapsed_fp32,collapsed_int8,scope
tf_efficientnetv2_s,gradcam,100023.jpg,0,0,0,1,1,0.9396907216494845,0.9689077863406856,0.9587944981584436,0,0,full_val_split
tf_efficientnetv2_s,gradcam,100268.jpg,0,0,0,1,1,0.8723721855952233,0.9318363008238107,0.9738804630547969,0,0,full_val_split
tf_efficientnetv2_s,gradcam,100330.jpg,0,0,0,1,1,0.8260342108455659,0.9047302684028701,0.9646914618039744,0,0,full_val_split
tf_efficientnetv2_s,gradcam,100447.jpg,0,0,0,1,1,0.8489129099619211,0.9182832846133404,0.9731192251308088,0,0,full_val_split
tf_efficientnetv2_s,gradcam,100523.jpg,0,0,0,1,1,0.6670727655332817,0.8002923199574807,0.9522897679335693,0,0,full_val_split
tf_efficientnetv2_s,gradcam,100541.jpg,0,0,0,1,1,0.7067694749971652,0.8281955886260962,0.905756268714218,0,0,full_val_split
tf_efficientnetv2_s,gradcam,100632.jpg,0,0,0,1,1,0.7165013114380203,0.8348392240233856,0.9236785011927846,0,0,full_val_split
tf_efficientnetv2_s,gradcam,100709.jpg,0,0,0,1,1,0.8779787897691828,0.9350252458145097,0.9665423122472698,0,0,full_val_split
tf_efficientnetv2_s,gradcam,100795.jpg,0,0,0,1,1,0.6984879259760777,0.8224820621844273,0.9494269078543619,0,0,full_val_split
tf_efficientnetv2_s,gradcam,100998.jpg,0,0,0,1,1,0.8045797865963313,0.8917087430241828,0.9769074587546561,0,0,full_val_split
tf_efficientnetv2_s,gradcam,101169.jpg,0,0,0,1,1,0.7219997711932273,0.8385596598458677,0.947601284519387,0,0,full_val_split
tf_efficientnetv2_s,gradcam,101467.jpg,0,0,0,1,1,0.8409980430528375,0.9136327398352379,0.9623127585200594,0,0,full_val_split
tf_efficientnetv2_s,gradcam,101469.jpg,0,0,0,1,1,0.7785655205010044,0.8754982726547967,0.9546827050984944,0,0,full_val_split
tf_efficientnetv2_s,gradcam,101593.jpg,0,0,0,1,1,0.8836190714553873,0.9382141908052086,0.9501597280708819,0,0,full_val_split
tf_efficientnetv2_s,gradcam,101676.jpg,0,0,0,1,1,0.8926191374324154,0.9432633537071485,0.9531161602327853,0,0,full_val_split
tf_efficientnetv2_s,gradcam,101718.jpg,0,0,0,1,1,0.8255912674348089,0.9044645229869784,0.9315039824746061,0,0,full_val_split
tf_efficientnetv2_s,gradcam,101731.jpg,0,0,0,1,1,0.8367297132397804,0.9111081583842678,0.9254283251251049,0,0,full_val_split
tf_efficientnetv2_s,gradcam,101767.jpg,0,0,0,1,1,0.7925449565320948,0.8842678713792187,0.9471254303747637,0,0,full_val_split
tf_efficientnetv2_s,gradcam,101768.jpg,0,0,0,1,1,0.7912650243960491,0.883470635131544,0.9431306414900794,0,0,full_val_split
tf_efficientnetv2_s,gradcam,101780.jpg,0,0,0,1,1,0.7528822638872714,0.859022056869519,0.9356183076486613,0,0,full_val_split
tf_efficientnetv2_s,gradcam,101798.jpg,0,0,0,1,1,0.6275951557093425,0.7711931969173532,0.8119508353114303,0,0,full_val_split
tf_efficientnetv2_s,gradcam,101800.jpg,0,0,0,1,1,0.7921181092987261,0.8840021259633272,0.9802643318792315,0,0,full_val_split
tf_efficientnetv2_s,gradcam,101812.jpg,0,0,0,1,1,0.7733270499528746,0.872176454956152,0.9523609250383424,0,0,full_val_split
tf_efficientnetv2_s,gradcam,101933.jpg,0,0,0,1,1,0.8086998317712089,0.8942333244751528,0.9486794420619898,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,100023.jpg,0,0,0,1,1,0.8342676090665366,0.9096465585968642,0.8796333445391193,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,100268.jpg,0,0,0,1,1,0.6337783566699229,0.7758437416954558,0.7648068972226008,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,100330.jpg,0,0,0,1,1,0.5963516809841977,0.7471432367791656,0.8654144030315317,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,100447.jpg,0,0,0,1,1,0.6132904608788853,0.7602976348657986,0.9341481638141843,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,100523.jpg,0,0,0,1,1,0.6155414833100783,0.7620249800690938,0.88633407240285,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,100541.jpg,0,0,0,1,1,0.5299857694653385,0.6927982992293383,0.7946567242402558,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,100632.jpg,0,0,0,1,1,0.6527945536400571,0.7899282487377093,0.9052482957659055,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,100709.jpg,0,0,0,1,1,0.6864985994397759,0.8141110815838427,0.9592681889461068,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,100795.jpg,0,0,0,1,1,0.7819344145850597,0.8776242359819293,0.8027127421230925,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,100998.jpg,0,0,0,1,1,0.8852705410821643,0.9391442997608291,0.9586145788971624,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,101169.jpg,0,0,0,1,1,0.632360915302028,0.7747807600318894,0.6427582853004142,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,101467.jpg,0,0,0,1,1,0.5348220658713164,0.6969173531756577,0.8324892184684503,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,101469.jpg,0,0,0,1,1,0.5053505350535054,0.6714057932500664,0.9383651625075241,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,101593.jpg,0,0,0,1,1,0.8052290717198369,0.8921073611480203,0.9581870278050105,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,101676.jpg,0,0,0,1,1,0.6398300468460617,0.7803614137656125,0.9267345500426359,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,101718.jpg,0,0,0,1,1,0.769782480893592,0.8699176189210737,0.9457741967106048,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,101731.jpg,0,0,0,1,1,0.5190231103037642,0.6833643369651874,0.9062111243447036,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,101767.jpg,0,0,0,1,1,0.6176249328318109,0.7636194525644433,0.9587726969643564,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,101768.jpg,0,0,0,1,1,0.5906160836943887,0.7426255647090088,0.924721764197421,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,101780.jpg,0,0,0,1,1,0.6956178889264392,0.8204889715652405,0.9234886418994028,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,101798.jpg,0,0,0,1,1,0.5520725922870695,0.7114004783417486,0.8245120750891777,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,101800.jpg,0,0,0,1,1,0.4752523767519357,0.6442997608291257,0.7628924308754687,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,101812.jpg,0,0,0,1,1,0.7923315075017862,0.8841349986712729,0.9545360408368031,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,101933.jpg,0,0,0,1,1,0.7345010371053238,0.8469306404464523,0.95206912959258,0,0,full_val_split
tf_efficientnetv2_s,gradcam,101979.jpg,0,0,0,1,1,0.7309107635694572,0.8445389317034281,0.9214950065912585,0,0,full_val_split
tf_efficientnetv2_s,gradcam,102127.jpg,0,0,0,1,1,0.816338843972487,0.8988838692532554,0.8846736509612437,0,0,full_val_split
tf_efficientnetv2_s,gradcam,102166.jpg,0,0,0,1,1,0.6787865268793218,0.8086633005580653,0.9183282130153428,0,0,full_val_split
tf_efficientnetv2_s,gradcam,102353.jpg,0,0,0,1,1,0.6566145718688091,0.7927185756045708,0.9505276960859159,0,0,full_val_split
tf_efficientnetv2_s,gradcam,102639.jpg,0,0,0,1,1,0.5499948511996705,0.7096731331384534,0.9021048973259818,0,0,full_val_split
tf_efficientnetv2_s,gradcam,102817.jpg,0,0,0,1,1,0.7718658034137728,0.8712463460005315,0.9148516193356442,0,0,full_val_split
tf_efficientnetv2_s,gradcam,102835.jpg,0,0,0,1,1,0.8489129099619211,0.9182832846133404,0.9722247754830299,0,0,full_val_split
tf_efficientnetv2_s,gradcam,103032.jpg,0,0,0,1,1,0.4276771317461823,0.5991230401275578,0.9463538889751366,0,0,full_val_split
tf_efficientnetv2_s,gradcam,103205.jpg,0,0,0,1,1,0.811965811965812,0.8962264150943396,0.9343219700092508,0,0,full_val_split
tf_efficientnetv2_s,gradcam,103230.jpg,0,0,0,1,1,0.8786819770344483,0.9354238639383471,0.9649860748337762,0,0,full_val_split
tf_efficientnetv2_s,gradcam,103276.jpg,0,0,0,1,1,0.7867996201329535,0.8806803082646825,0.9611866541184777,0,0,full_val_split
tf_efficientnetv2_s,gradcam,103629.jpg,0,0,0,1,1,0.8978691211700921,0.9461865532819559,0.9356457623276927,0,0,full_val_split
tf_efficientnetv2_s,gradcam,103920.jpg,0,0,0,1,1,0.6172773181476308,0.7633537071485517,0.9570148388895839,0,0,full_val_split
tf_efficientnetv2_s,gradcam,103923.jpg,0,0,0,1,1,0.8969124133585381,0.9456550624501727,0.9364852658422785,0,0,full_val_split
tf_efficientnetv2_s,gradcam,104055.jpg,0,0,0,1,1,0.80935208558721,0.8946319425989901,0.9699930617989331,0,0,full_val_split
tf_efficientnetv2_s,gradcam,104401.jpg,0,0,0,1,1,0.7878607910678228,0.8813446718044113,0.9661436215366821,0,0,full_val_split
tf_efficientnetv2_s,gradcam,104535.jpg,0,0,0,1,1,0.750436097220607,0.8574275843741695,0.9261271363180815,0,0,full_val_split
tf_efficientnetv2_s,gradcam,104576.jpg,0,0,0,1,1,0.6268914829226113,0.77066170608557,0.8357868185545859,0,0,full_val_split
tf_efficientnetv2_s,gradcam,104697.jpg,0,0,0,1,1,0.7094832481544577,0.8300558065373372,0.9242518805990796,0,0,full_val_split
tf_efficientnetv2_s,gradcam,104800.jpg,0,0,0,1,1,0.6566145718688091,0.7927185756045708,0.9505276960859159,0,0,full_val_split
tf_efficientnetv2_s,gradcam,104819.jpg,0,0,0,1,1,0.48412541904949713,0.6524049960138187,0.9319081762328807,0,0,full_val_split
tf_efficientnetv2_s,gradcam,104827.jpg,0,0,0,1,1,0.8202926593300278,0.9012755779962796,0.9627228963946095,0,0,full_val_split
tf_efficientnetv2_s,gradcam,105046.jpg,0,0,0,1,1,0.6939005176682422,0.8192931171937284,0.912537714970712,0,0,full_val_split
tf_efficientnetv2_s,gradcam,105255.jpg,0,0,0,1,1,0.8921433060967945,0.942997608291257,0.9505144026982074,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,101979.jpg,0,0,0,1,1,0.5948294130112312,0.7459473824076535,0.8937785153752698,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,102127.jpg,0,0,0,1,1,0.5939849624060151,0.7452830188679245,0.9272193673582829,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,102166.jpg,0,0,0,1,1,0.35566963883635055,0.5247143236779166,0.8119502633751118,0,0,full_val_split
tf_efficientnetv2_s,gradcampp,102353.jpg,0,0,0,1,1,0.7586166608248627,0.8627424926920011,0.9590718970685327,0,0,full_val_split
